title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Loving Vincent  ,2017,PG-13,94," Animation, Biography, Crime            ",7.8,62,    Dorota Ko iela   ,       Douglas Booth,   Jerome Flynn,   Ro ert Gulaczyk,   Helen McCrory    ,51443,6740000
    Big Hero 6  ,2014,PG,102," Animation, Action, Adventure            ",7.8,74,    Don Hall   ,       Ryan Potter,   Scott Adsit,   Jamie Chung,   T.J. Miller    ,413918,222530000
    English Vinglish  ,2012,Not Rated,134," Comedy, Drama, Family            ",7.8,0,    Gauri Shinde  ,      Sridevi,   Adil Hussain,   Mehdi Ne  ou,   Priya Anand  ,33834,1670000
    Toy Story 4  ,2019,G,100," Animation, Adventure, Comedy            ",7.8,84,    Josh Cooley  ,      Tom Hanks,   Tim Allen,   Annie Potts,   Tony Hale  ,207077,434040000
    How to Train Your Dragon 2  ,2014,PG,102," Animation, Action, Adventure            ",7.8,76,    Dean DeBlois  ,      Jay Baruchel,   Cate Blanchett,   Gerard Butler,   Craig Ferguson  ,307563,177000000
    Veer-Zaara  ,2004,Not Rated,192," Drama, Family, Musical            ",7.8,67,    Yash Chopra  ,      Shah Rukh Khan,   Preity Zinta,   Rani Mukerji,   Kirron Kher  ,49363,2920000
    Shrek  ,2001,PG,90," Animation, Adventure, Comedy            ",7.8,84,    Andrew Adamson   ,       Mike Myers,   Eddie Murphy,   Cameron Diaz,   John Lithgow    ,617322,267670000
    When Marnie Was There  ,2014,PG,103," Animation, Drama, Family            ",7.7,72,    James Simone   ,       Sara Takatsuki,   Kasumi Arimura,   Nanako Matsushima,   Susumu Terajima    ,33467,770000
    Wreck-It Ralph  ,2012,PG,101," Animation, Adventure, Comedy            ",7.7,72,    Rich Moore  ,      John C. Reilly,   Jack McBrayer,   Jane Lynch,   Sarah Silverman  ,382715,189420000
    The Little Prince  ,2015,PG,108," Animation, Adventure, Drama            ",7.7,70,    Mark Os orne  ,      Jeff Bridges,   Mackenzie Foy,   Rachel McAdams,   Marion Cotillard  ,57201,1340000
    The Lego Movie  ,2014,PG,100," Animation, Action, Adventure            ",7.7,83,    Christopher Miller   ,       Chris Pratt,   Will Ferrell,   Eliza eth Banks,   Will Arnett    ,325374,257760000
    Harry Potter and the Deathly Hallows: Part 1  ,2010,PG-13,146," Adventure, Family, Fantasy            ",7.7,65,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Bill Nighy  ,483395,295980000
    Ponyo  ,2008,G,101," Animation, Adventure, Comedy            ",7.7,86,    Hayao Miyazaki  ,      Cate Blanchett,   Matt Damon,   Liam Neeson,   Tomoko Yamaguchi  ,126886,15090000
    The Girl Who Leapt Through Time  ,2006,TV-PG,98," Animation, Adventure, Comedy            ",7.7,0,    Mamoru Hosoda  ,      Riisa Naka,   Takuya Ishida,   Mitsutaka Itakura,   Ayami Kakiuchi  ,60861,0
    Tangled  ,2010,PG,100," Animation, Adventure, Comedy            ",7.7,71,    Nathan Greno   ,       Mandy Moore,   Zachary Levi,   Donna Murphy,   Ron Perlman    ,408688,200820000
    Harry Potter and the Go let of Fire  ,2005,PG-13,157," Adventure, Family, Fantasy            ",7.7,81,    Mike Newell  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Eric Sykes  ,553204,290010000
    Coraline  ,2009,PG,100," Animation, Drama, Family            ",7.7,80,    Henry Selick  ,      Dakota Fanning,   Teri Hatcher,   John Hodgman,   Jennifer Saunders  ,199165,75290000
