title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Tanu Weds Manu Returns  ,2015,Not Rated,128," Comedy, Drama, Romance            ",7.6,0,    Aanand L. Rai  ,      Kangana Ranaut,   Madhavan,   Jimmy Sheirgill,   Deepak Do riyal  ,26404,0
    Delhi Belly  ,2011,Not Rated,103," Action, Comedy, Crime            ",7.6,66,    A hinay Deo   ,       Imran Khan,   Vir Das,   Kunaal Roy Kapur,   Shenaz Treasury    ,27765,1530000
    The Art of Racing in the Rain  ,2019,PG,109," Comedy, Drama, Romance            ",7.6,0,    Simon Curtis  ,      Kevin Costner,   Milo Ventimiglia,   Jackie Minns,   Marcus Hondro  ,25500,25500000
    Wake Up Sid  ,2009,PG,138," Comedy, Drama, Romance            ",7.6,0,    Ayan Mukherjee  ,      Ran ir Kapoor,   Konkona Sen Sharma,   Supriya Pathak,   Anupam Kher  ,28483,720000
    Despica le Me  ,2010,PG,95," Animation, Comedy, Crime            ",7.6,72,    Pierre Coffin   ,       Steve Carell,   Jason Segel,   Russell Brand,   Julie Andrews    ,503538,251510000
    50/50  ,2011,R,100," Comedy, Drama, Romance            ",7.6,72,    Jonathan Levine  ,      Joseph Gordon-Levitt,   Seth Rogen,   Anna Kendrick,   Bryce Dallas Howard  ,316420,35010000
    Kick-Ass  ,2010,R,117," Action, Comedy, Crime            ",7.6,66,    Matthew Vaughn  ,      Aaron Taylor-Johnson,   Nicolas Cage,   Chlo Grace Moretz,   Garrett M. Brown  ,527056,48070000
    Zom ieland  ,2009,R,88," Adventure, Comedy, Fantasy            ",7.6,73,    Ru en Fleischer  ,      Jesse Eisen erg,   Emma Stone,   Woody Harrelson,   A igail Breslin  ,522559,75590000
    Super ad  ,2007,R,113, Comedy            ,7.6,76,    Greg Mottola  ,      Michael Cera,   Jonah Hill,   Christopher Mintz-Plasse,   Bill Hader  ,524159,121460000
    Volver  ,2006,R,121," Comedy, Drama            ",7.6,84,    Pedro Almodvar  ,      Penlope Cruz,   Carmen Maura,   Lola Dueas,   Blanca Portillo  ,95379,12900000
    Thank You for Smoking  ,2005,R,92," Comedy, Drama            ",7.6,71,    Jason Reitman  ,      Aaron Eckhart,   Cameron Bright,   Maria Bello,   Joan Lunden  ,213525,24790000
    Love Me If You Dare  ,2003,R,93," Comedy, Drama, Romance            ",7.6,0,    Yann Samuell  ,      Guillaume Canet,   Marion Cotillard,   Thi ault Verhaeghe,   Josphine Le as-Joly  ,67611,550000
    The Station Agent  ,2003,R,89," Comedy, Drama            ",7.6,81,    Tom McCarthy  ,      Peter Dinklage,   Patricia Clarkson,   Bo  y Cannavale,   Paul Benjamin  ,67613,5740000
    The Bar arian Invasions  ,2003,R,99," Comedy, Crime, Drama            ",7.6,70,    Denys Arcand  ,      Rmy Girard,   Dorothe Berryman,   Stphane Rousseau,   Marie-Jose Croze  ,28356,3430000
    Love Actually  ,2003,R,135," Comedy, Drama, Romance            ",7.6,0,    Richard Curtis  ,      Hugh Grant,   Martine McCutcheon,   Liam Neeson,   Laura Linney  ,438943,59700000
    The Royal Tenen aums  ,2001,R,110," Comedy, Drama            ",7.6,76,    Wes Anderson  ,      Gene Hackman,   Gwyneth Paltrow,   Anjelica Huston,   Ben Stiller  ,268712,52360000
    American Psycho  ,2000,R,101," Comedy, Crime, Drama            ",7.6,64,    Mary Harron  ,      Christian Bale,   Justin Theroux,   Josh Lucas,   Bill Sage  ,497259,15070000
    BlacKkKlansman  ,2018,R,135," Biography, Comedy, Crime            ",7.5,83,    Spike Lee  ,      John David Washington,   Adam Driver,   Laura Harrier,   Topher Grace  ,227025,49280000
"    I, Tonya  ",2017,R,119," Biography, Comedy, Drama            ",7.5,77,    Craig Gillespie  ,      Margot Ro  ie,   Se astian Stan,   Allison Janney,   Julianne Nicholson  ,184865,30010000
    The Big Sick  ,2017,R,120," Comedy, Drama, Romance            ",7.5,86,    Michael Showalter  ,      Kumail Nanjiani,   Zoe Kazan,   Holly Hunter,   Ray Romano  ,122359,42870000
    Raya and the Last Dragon  ,2021,PG,107," Animation, Action, Adventure            ",7.5,75,    Don Hall   ,      John Ripa  ,    Kelly Marie Tran,   Awkwafina,,26006,0
    The Favourite  ,2018,R,119," Biography, Comedy, Drama            ",7.5,91,    Yorgos Lanthimos  ,      Olivia Colman,   Emma Stone,   Rachel Weisz,   Nicholas Hoult  ,175010,34370000
    Instructions Not Included  ,2013,PG-13,122," Comedy, Drama            ",7.5,0,    Eugenio Der ez  ,      Eugenio Der ez,   Karla Souza,   Jessica Lindsey,   Loreto Peralta  ,29303,44470000
    Frances Ha  ,2012,R,86," Comedy, Drama, Romance            ",7.5,82,    Noah Baum ach  ,      Greta Gerwig,   Mickey Sumner,   Adam Driver,   Michael Zegen  ,75611,4060000
    Saving Mr. Banks  ,2013,PG-13,125," Biography, Comedy, Drama            ",7.5,65,    John Lee Hancock  ,      Emma Thompson,   Tom Hanks,   Annie Rose Buckley,   Colin Farrell  ,153088,83300000
