title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Zero Dark Thirty,2012),R,157," Drama, History, Thriller            ",7.4,95        ,Kathryn Bigelow,"['Jessica Chastain, ', 'Joel Edgerton, ', 'Chris Pratt, ', 'Mark Strong', '']",274082,$95.72M
The Guernsey Literary and Potato Peel Pie Society,2018),TV-14,124," Drama, Romance, War            ",7.4,65        ,Mike Newell,"['Jessica Brown Findlay, ', 'Tom Courtenay, ', 'Michiel Huisman, ', 'Katherine Parkinson', '']",36450,0
Wonder Woman,2017),PG-13,141," Action, Adventure, Fantasy            ",7.4,76        ,Patty Jenkins,"['Gal Gadot, ', 'Chris Pine, ', 'Robin Wright, ', 'Lucy Davis', '']",574711,$412.56M
Red Cliff,2008),R,148," Action, Adventure, Drama            ",7.4,73        ,John Woo,"['Tony Chiu-Wai Leung, ', 'Takeshi Kaneshiro, ', 'Fengyi Zhang, ', 'Chen Chang', '']",43904,$0.63M
Master and Commander: The Far Side of the World,2003),PG-13,138," Action, Adventure, Drama            ",7.4,81        ,Peter Weir,"['Russell Crowe, ', 'Paul Bettany, ', 'Billy Boyd, ', ""James D'Arcy"", '']",204095,$93.93M
The English Patient,1996),R,162," Drama, Romance, War            ",7.4,87        ,Anthony Minghella,"['Ralph Fiennes, ', 'Juliette Binoche, ', 'Willem Dafoe, ', 'Kristin Scott Thomas', '']",179783,$78.65M
Gallipoli,1981),PG,110," Adventure, Drama, History            ",7.4,65        ,Peter Weir,"['Mel Gibson, ', 'Mark Lee, ', 'Bill Kerr, ', 'Harold Hopkins', '']",37034,$5.73M
A Bridge Too Far,1977),PG,175," Drama, History, War            ",7.4,63        ,Richard Attenborough,"['Sean Connery, ', ""Ryan O'Neal, "", 'Michael Caine, ', 'Laurence Olivier', '']",52544,$50.80M
MASH,1970),R,116," Comedy, Drama, War            ",7.4,80        ,Robert Altman,"['Donald Sutherland, ', 'Elliott Gould, ', 'Tom Skerritt, ', 'Sally Kellerman', '']",67755,$81.60M
Official Secrets,2019),R,112," Biography, Crime, Drama            ",7.3,63        ,Gavin Hood,"['Keira Knightley, ', 'Matt Smith, ', 'Matthew Goode, ', 'Rhys Ifans', '']",35286,$0.40M
13 Hours,2016),R,144," Action, Drama, History            ",7.3,0,Michael Bay,"['John Krasinski, ', 'Pablo Schreiber, ', 'James Badge Dale, ', 'David Denman', '']",120916,$52.85M
American Sniper,2014),R,133," Action, Biography, Drama            ",7.3,72        ,Clint Eastwood,"['Bradley Cooper, ', 'Sienna Miller, ', 'Kyle Gallner, ', 'Cole Konis', '']",442611,$350.13M
Eye in the Sky,2015),R,102," Action, Drama, Thriller            ",7.3,73        ,Gavin Hood,"['Helen Mirren, ', 'Aaron Paul, ', 'Alan Rickman, ', 'Barkhad Abdi', '']",79994,$18.70M
Testament of Youth,2014),PG-13,129," Biography, Drama, History            ",7.3,76        ,James Kent,"['Alicia Vikander, ', 'Kit Harington, ', 'Taron Egerton, ', 'Dominic West', '']",26838,$1.82M
Max Manus: Man of War,2008),Not Rated,118," Action, Biography, Drama            ",7.3,0,"Joachim Rønning, ","['    Stars:', 'Aksel Hennie, ', 'Agnes Kittelsen, ', 'Nicolai Cleve Broch, ', 'Ken Duken']",26692,0
Rescue Dawn,2006),PG-13,120," Action, Biography, Drama            ",7.3,77        ,Werner Herzog,"['Christian Bale, ', 'Steve Zahn, ', 'Jeremy Davies, ', 'Zach Grenier', '']",101518,$5.49M
Lincoln,2012),PG-13,150," Biography, Drama, History            ",7.3,86        ,Steven Spielberg,"['Daniel Day-Lewis, ', 'Sally Field, ', 'David Strathairn, ', 'Joseph Gordon-Levitt', '']",246276,$182.21M
Crimson Tide,1995),R,116," Action, Drama, Thriller            ",7.3,66        ,Tony Scott,"['Gene Hackman, ', 'Denzel Washington, ', 'Matt Craven, ', 'George Dzundza', '']",102614,$91.40M
"Good Morning, Vietnam",1987),R,121," Biography, Comedy, Drama            ",7.3,67        ,Barry Levinson,"['Robin Williams, ', 'Forest Whitaker, ', 'Tom. T. Tran, ', 'Chintara Sukapatana', '']",126954,$123.92M
